职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
后端开发工程师-投放方向,小红书,,"上海市,北京市",本科及以上,不限,,"1、负责并参与小红书广告投放系统开发升级，包括RTA竞价、媒体分成机制、媒体质量分析等；
2、开发，设计和落地广告在线服务；
3、设计，开发，维护和改善目前的系统架构；
4、紧密地和跨功能团队合作（包括但不限于工程，算法，数据分析，产品，策略），理解需求，并能提出自己的想法，前瞻性的提供和落地技术方案。","1、统招本科及以上学历，计算机相关专业，5年以上软件开发经验；
2、Java基础扎实，对IO、多线程、JVM等有一定了解，熟练使用常见编程框架，对其原理有所了解；
3、丰富的编码经验，良好的编码风格，以及扎实的系统设计能力；
4、熟悉广告业务，包括创编、定向、监测度量、竞价策略、财务、客户管理和销售管理等优先；
5、深刻理解高并发场景的系统架构设计，搭建和维护，且对相关的开源框架熟悉优先；
6、熟练掌握SQL，了解离线/实时数据流开发，有广告投放业务数据体系建设开发经验者优先。",5,袁庆芳,,,,,https://hunter.xiaohongshu.com/position-detail/19355
AI音频算法工程师-社区技术,小红书,,"北京市,上海市",硕士及以上,不限,,"1.在业务场景下围绕语音及音乐，支撑小红书平台多项业务板块，将AI语音交互/音乐理解及生成等技术赋能产品线
2.跟进最领先的语音交互技术/音乐理解及生成技术，包括但不限于提出新的技术框架、改进现有的算法、持续提升相关技术及业务指标，鼓励撰写论文及申请专利。","1.AI、EE、CS相关专业；
2.在语音识别/语音合成/音乐信息检索/音乐生成等方向有相关经验；
3.精通Tensorflow，Pytorch等工具，了解深度学习及大模型相关技术，具有模型优化经验；
4.良好的团队沟通能力，积极思考，主动解决问题者优先；
5.在相关国际会议或期刊（ICASSP、INTERSPEECH、 ASRU、ISMIR、 TASLP、 Speech Communication）发表过论文者优先",1,介佩玺,,,,,https://hunter.xiaohongshu.com/position-detail/14477
后端开发工程师-国际化创新,小红书,,"上海市,北京市",本科及以上,不限,,"工作职责：
1. 负责小红书海外创新业务的后端服务建设与维护；
2. 通过构建Agent、Multi-Agent的技术框架，探索AI能力在创新产品中的可能性；
3. 基于对业务的理解，进行系统选型、设计、编码，为系统长期的稳定性及可维护性负责；
4. 具备解决复杂系统问题的经验和能力，持续寻找和优化现有系统的不足，提升系统性能和稳定性。","任职资格：
1. 大学本科或以上学历，计算机相关专业，3年以上后端开发经验；
2. 扎实的计算机基础知识，较强的学习能力和逻辑推理能力；
3. 熟练使用Java和Spring生态；
4. 掌握 MySQL、Redis、RocketMQ、Kafka、ElasticSearch等常用服务组件，有定制化改造经验更佳；
5. 自驱力强，积极主动，能独立负责一块业务，和团队中各个角色进行高效的沟通协作，迅速推进问题解决，有Agent开发和数据分析经验者更佳。",2,袁庆芳,,,,,https://hunter.xiaohongshu.com/position-detail/19353
【hi lab】基础模型 Post-Train 研究员,小红书,,"北京市,上海市,杭州市",硕士及以上,1-3年,,"在以下一个或多个前沿方向进行深度攻关：
1、Reasoning & RL Scaling： 探索 RL Scaling Law，在数学、编程、视觉推理等可验证任务上提升模型的可泛化推理能力；研发 Adaptive Thinking 技术，使模型具备动态调整思考深度的能力。
2、Agentic Intelligence： 构建多模态环境下的规划、工具调用、执行与反思闭环；研究 Multi-agent RL 以应对超长程任务；探索 Proactive AI，使模型具备主动交互与需求澄清能力。
3、Self-Evolving & Intrinsic Motivation： 突破人类监督的扩展性瓶颈，研究自我评估与修正机制；探索通过 Intrinsic Reward（内在奖励） 替代外部反馈，实现 AI 的持续自我迭代。
4、Lifelong Learning： 赋予模型从长期交互中持续学习的 Meta 能力，提升模型在长程对话中的用户理解力与任务解决成功率。","基础要求
基础能力： 扎实的机器学习与深度学习基础，对大模型模型训练全流程有深入理解；
解决问题： 具备逻辑严密的分析能力，能够从复杂现象中抽象出底层问题并给出系统性方案。
专业能力：具备扎实的机器学习理论基础，能够深刻理解并解决 RL 训练中的各种问题问题，包括 Reward Hacking、Training Stability、Exploration Efficiency等
动手能力：有优秀的算法实现能力和工程性能感知，具备优秀的数据敏锐度， 能够从中数据得到让模型效果突破的 insight

加分项
研究成果： 在 NeurIPS、ICLR、ICML、CVPR、ACL 等顶级会议发表过高水平研究成果，或主导过知名开源项目优先
敏锐的直觉和探索精神：具备极强的好奇心，能在高度不确定的无人区中通过严谨的实验验证寻找确定性。不满足于优化已有 Benchmark，而是对“模型是否真的在理解、在进化”保持极度敏感。",10,张雅雯,,,,,https://hunter.xiaohongshu.com/position-detail/19318
商业审核策略运营,小红书,,"北京市,上海市,武汉市",本科及以上,3-5年,,"1、将商业化/电商审核治理需求拆解为可落地的机审策略与大模型识别处置方案，持续提升准确率与召回率；通过策略/PE/RAG/Workflow等能力持续实验迭代，降低漏放与误杀对体验的影响，并持续降低进人审率与审核成本。
2、设计、开发并迭代面向商业化审核的Agent与Workflow，实现复杂风险场景的自动化识别、推理与处置；沉淀可复用的组件、流程与运营方法论。
3、牵头推进各风险域的风险、体验、成本目标达成：制定项目目标与指标体系，输出解决方案与实施路径，协同规则、审核、质检、算法、研发、治理、产品等团队，推动按期交付并形成闭环复盘。
4、以产品化思维持续优化策略运营与工具链（如配置、评测、监控、回滚等），提升机审自主运营效率，在风险可控前提下实现体验与效率的综合最优。","1、本科及以上学历，3年以上机审策略/模型运营经验；有商业化治理、电商风控/内容安全相关经验优先。
2、自驱与结果导向，学习能力强，具备结构化分析与问题拆解能力；良好的沟通表达与跨团队协作能力。
3、理解大模型基本原理，熟悉至少一种主流大模型应用开发框架；具备Agent/Workflow从搭建、评测到部署的实战经验。
4、具备较强业务理解与落地能力：熟悉Prompt设计与调优，能结合标注/审核/质检等流程梳理运营逻辑并制定可执行方案。
5、强责任心与Owner意识，敢于挑战既有方案；具备数据敏感度与风险意识，能在不确定性下推动决策与落地。",3,李龙,,,,,https://hunter.xiaohongshu.com/position-detail/19270
商业化风险感知,小红书,,北京市,本科及以上,3-5年,,"1、基于业务洞察和研究，定位商业化场景出现的各类风险及问题，协助编写风险分析报告并能给出改进意见，推动业务责任方优化落地；
2、对业务数据及舆情风险变化敏感，建设并迭代风险异动指标和风险监测方法，提升商业化风险感知挖掘效率；
3、参与商业化风险运营基建工作，与运营、产品、算法紧密合作，协助完成风险感知/识别/处置/验证等维度的平台能力搭建；","1、本科及以上学历，法学/新闻学/传播学/情报学等专业，或有相关业务经历优先；
2、能使用EXCEL/WORD等工具，有数据分析经验更佳；
3、关注行业热点，对商业化场景风险敏感。思考与分析有逻辑性，关注业务细节并具有良好的表达能力；
4、有责任心，好奇心和学习能力强，有抗压性且敢于接受挑战。",2,李龙,,,,,https://hunter.xiaohongshu.com/position-detail/19252
产品专项,小红书,,"北京市,上海市",本科及以上,3-5年,,/,/,10,王茜,,,,,https://hunter.xiaohongshu.com/position-detail/13602
基础模型算法工程师 - LLM Post-training,小红书,,"北京市,上海市,杭州市",硕士及以上,1-3年,,"岗位定位：
本岗位侧重于提升大语言模型的“核心大脑”能力。你将通过先进的 Post-training 技术，让模型在Reasoning、Agentic以及人类意图对齐上达到业界顶尖水平，通过提升AI智能水平的上限，支撑小红书所有业务场景，包括且不限于搜索、广告、推荐、电商、客服及智能发布等核心场景。
你的工作内容：
大规模对齐与强化学习： 研发并优化 SFT、RL（如GRPO 等）算法，构建高精度的 Reward Model，解决模型在复杂指令下的对齐问题。
推理模型（Reasoning）优化： 探索长链推理（CoT）、强化学习驱动的自反思与自进化机制，提升模型在的 System 2 思维能力。
Agentic RL 与Agency： 研发面向 Search Agent、Code Agent 和 Tool-use Agent 的强化学习方案，提升模型在开放环境中的任务拆解、工具调用及闭环执行能力。
合成数据与模型进化： 探索高质量合成数据的生成与过滤技术，实现模型能力的自我循环与持续进化","我们希望你具备：
背景： 计算机、数学等相关专业硕士/博士；深入理解 Transformer 架构及大模型训练全流程。
专业深耕： 在 Search（搜索）、Code（代码生成/工程）、tool-use、alignment 或 RL（强化学习） 领域有深厚积累。
工程能力： 熟练使用 PyTorch，有 DeepSpeed、Megatron-LM 或 Ray 等大规模分布式训练实战经验。
加分项：
在 NeurIPS, ICML, ICLR, ACL 等顶会发表过高质量论文。
在 LLM 大家关注的 Benchmark 榜单有深入研究或优异表现。",3,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/19257
大模型Agent算法专家,小红书,,"上海市,北京市",硕士及以上,1-3年,,"职位背景：
小红书作为用户的“生活决策指南”，每天承载海量的搜索与浏览需求。我们正在从传统的“信息检索”向“意图满足与服务分发”进化。
你将加入核心算法团队，负责建设小红书社区原生的 Agent 平台。利用 LLM、RAG、Multi-Agent 等前沿技术，深度理解用户复杂的非结构化 Query（如旅游攻略、装修避坑、穿搭建议），调度全站笔记、商品与工具资源，为用户提供能够直接解决问题的“智能方案”。
岗位职责：
Agent 核心架构建设：负责通用 Agent 框架的设计与研发，包括意图识别（Router）、任务编排（Planning）、工具调用（Function Calling）及多轮对话状态管理（Memory），构建支持高并发、低延迟的在线智能分发系统。
大模型调优与对齐：基于开源或自研基座模型，利用 SFT、RL 等技术进行垂直领域微调。增强模型的小红书风格化表达（社区感）、复杂指令遵循能力及工具调用准确率等。
垂类智能体落地：深入旅游、美妆、装修、法律等核心垂类，设计专有的 Workflow，打通笔记、商卡、POI 等结构化数据，提升用户从“搜索”到“决策”的转化效率。
评测与迭代体系：建设 Agent 自动化评测平台（LLM-as-a-Judge），制定涵盖准确性、相关性、有用性及安全性的多维评估指标，通过离线评测与在线 A/B 实验持续驱动效果优化。","基础素质：计算机、人工智能等相关专业硕士及以上学历，具备扎实的机器学习/深度学习理论基础，精通 Python，熟练使用 PyTorch 等框架。
LLM 经验：深入理解 Transformer 架构，有大模型 Pre-training、SFT、RL 全流程实战经验。
业务落地能力：具备极强的工程落地能力，对数据有敏锐的洞察力，善于从海量非结构化数据（User Query, Notes, Comments）中挖掘价值。
加分项：
在 NeurIPS, ICML, ICLR, ACL 等顶会发表过高质量论文。
在 LLM 大家关注的 Benchmark 榜单有深入研究或优异表现。",3,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/19254
热点策略运营（挖掘）,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书端内热点策略及运营，聚焦流行趋势挖掘和放大和人群运营；
2、热点挖掘：潜力原生热点线索的发现与放大，通过运营助推促成爆款，打造行业认可的优质案例；
3、热点心智：持续沉淀各兴趣领域的热点差异化心智，为圈层用户提频负责；
4、热点促产：热点创作者运营，优化热点创作范式，通过社群运营、活动促产、定向邀约等方式带动热点发布规模；
5、讨论运营：聚焦热点讨论方向及评论运营，以数据和内容洞察为出发点，推动热点产品功能及热点后台产品的能力迭代，提升热点评论规模；","1、本科及以上学历，具有3年及以上工作经验，从事过热点策略相关岗位优先；
2、熟悉内容产品，对趋势发酵有判断力，熟悉内容生产、分发、传播的完整链路；
3、与垂类、产品、生态、推荐等业务密切配合，推动跨部门OKR协作，为业务目标负责；
4、抗压力强，具备高度责任心，乐于接受挑战，能在较大的压力下保持良好工作状态。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/19210
热点策略运营（分发）,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书端内热点策略及运营，聚焦流行趋势挖掘和放大和人群运营；
2、热点挖掘：潜力原生热点线索的发现与放大，通过运营助推促成爆款，打造行业认可的优质案例；
3、热点心智：持续沉淀各兴趣领域的热点差异化心智，为圈层用户提频负责；
4、热点促产：热点创作者运营，优化热点创作范式，通过社群运营、活动促产、定向邀约等方式带动热点发布规模；
5、讨论运营：聚焦热点讨论方向及评论运营，以数据和内容洞察为出发点，推动热点产品功能及热点后台产品的能力迭代，提升热点评论规模；","1、本科及以上学历，具有3年及以上工作经验，从事过热点策略相关岗位优先；
2、熟悉内容产品，对趋势发酵有判断力，熟悉内容生产、分发、传播的完整链路；
3、与垂类、产品、生态、推荐等业务密切配合，推动跨部门OKR协作，为业务目标负责；
4、抗压力强，具备高度责任心，乐于接受挑战，能在较大的压力下保持良好工作状态。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/19211
热榜产品运营,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书端内热点策略及运营，聚焦流行趋势挖掘和放大和人群运营；
2、热点挖掘：潜力原生热点线索的发现与放大，通过运营助推促成爆款，打造行业认可的优质案例；
3、热点心智：持续沉淀各兴趣领域的热点差异化心智，为圈层用户提频负责；
4、热点促产：热点创作者运营，优化热点创作范式，通过社群运营、活动促产、定向邀约等方式带动热点发布规模；
5、讨论运营：聚焦热点讨论方向及评论运营，以数据和内容洞察为出发点，推动热点产品功能及热点后台产品的能力迭代，提升热点评论规模；","1、本科及以上学历，具有3年及以上工作经验，从事过热点策略相关岗位优先；
2、熟悉内容产品，对趋势发酵有判断力，熟悉内容生产、分发、传播的完整链路；
3、与垂类、产品、生态、推荐等业务密切配合，推动跨部门OKR协作，为业务目标负责；
4、抗压力强，具备高度责任心，乐于接受挑战，能在较大的压力下保持良好工作状态。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/19212
【通用】-内审内控,小红书,,"上海市,北京市",本科及以上,3-5年,,-,-,2,杨艺,,,,,https://hunter.xiaohongshu.com/position-detail/17988
【热招】内审内控,小红书,,"上海市,北京市",本科及以上,3-5年,,"职位概述：
我们正在寻找一位对复杂信息充满好奇、拥有表达力、敢于追问“why behind the why”的伙伴加入内审团队。如果你喜欢拆解问题，擅长在混沌中寻找逻辑，把复杂的事阐述明白，并用穿透的视角洞察表象背后的系统根因 - 欢迎你加入我们的团队！
在这里，你不仅是一个风险挖掘者，同时也是推动组织进化的参与者。你将以业务梳理+事实挖掘+表达共建为核心能力，深入运营逻辑、数字资产和企业治理。我们期待既能理性解构，又能持续探索；既能独立判断，又善于与人对话，且对成事有强烈欲望的伙伴加入团队。

工作职责：
1、系统性洞察业务决策与流程，从组织战略与运营场景中识别审计切口，规划项目；
2、独立开展风险导向型审计任务，如销售、费用、数据安全、采购等场景，全面针对风险水位；
3、处理碎片信息，通过调查研究、测试与数据分析，厘清系统性问题的真实根因；
4、与管理层、业务团队进行有效沟通，用有温度、有逻辑的表达推动认知拉齐与解题共建；","1、核心特质：
（1）聪明，sharp，自驱：有探索欲，能快速理解复杂系统，能用数据和逻辑拆解模糊问题，并在不确定中寻找路径并follow through；
（2）能将复杂的问题说清楚：逻辑表达能力出色，善于将系统性分析转化为可被理解的表达；
（3）开放、真实：倾听不同观点，拥抱变化，能在反馈中不断成长

2、其他条件：
（1）重点本科及以上学历；
（2）5年以上相关工作经验，并获得过高绩效；
（3）熟悉内控框架及流程设计原则，有内控、内审、风控等经验者优先；
（3）掌握SQL、Python等数据分析工具及编程语言；有AI工具应用探索经验者加分。",1,杨艺,,,,,https://hunter.xiaohongshu.com/position-detail/10732
税务中台,小红书,,上海市,本科及以上,3-5年,,"1. 掌握互联网商业化相关业务沿革和模式特点，可以独立对接业务团队各业务需求，梳理业务脉络逻辑，输出税务相关解决方案，并协助支持方案落地以及合同涉税条款的草拟等；
2.针对商业化板块各业务类型，结合税法相关政策和实务经验，搭建涉税业务税务管理体系；独立设计、主导、评估及执行商业化业务板块全流程涉税处理；完成多维度税务数据分析工作；主动识别项目全程的涉税风险，并确保优化方案落地；
3.对互联网商业化相关财税法规及行业内重要法律法规、业务发展变化有快速的反应力并高效地提出应对策略；
4.其他涉税事项的管理、落实。","任职资格
核心特质（必备）
1. 敏锐思辨：对税务政策、业务逻辑有好奇心爱钻研，能形成独立判断，敢于表达真实观点，求真务实不盲从；
2. 自驱好奇：主动探索税务、业务、技术交叉领域知识，对财税政策更新、数字化工具应用充满求知欲，能够从解决问题中获得成就感；
3. 高效学习：能快速吸收新法规、新业务信息，拆解复杂涉税问题，抓住核心矛盾并形成初步解决方案；
4. 结果导向：有强烈的责任心与执行力，勇于直面税务合规挑战，对工作成果负责；
5. 开放灵活：乐于接受新理念、拥抱业务与政策变化，具备快速迭代工作方法的能力；
6. 热爱专注：对税务专业或数字化方向有浓厚兴趣，愿意投入精力深耕互联网税务赛道。
其他条件（加分项）
1. 本科及以上学历，税务、财务、经济、金融、计算机、数学、统计学等相关专业，1-5年工作经验，有互联网行业、电商行业或四大/全职经历者优先，
2. 具备基础税务专业知识，持有税务师、CPA等证书或通过部分科目者优先；
3. 掌握SQL、Python、R等至少一种数据分析工具，有税务数据建模、报表自动化经验者优先；
4. 英语听说读写能力良好，能对接跨境税务相关基础工作者优先。
5 接触过GPT、DeepSeek等AIGC工具，并有意愿探索其在税务政策解读、风险预警等场景的应用；

我们提供
- 清晰的成长路径：从税务专员到税务专家/管理者，覆盖合规、筹划、数字化等多方向发展通道；
- 丰富的业务场景：深度参与内容商业化、电商、跨境等核心业务税务支持，积累多元化互联网税务经验；
- 前沿的技术实践：接触AI、AIGC等技术在税务领域的创新应用，打造“税务+数字化”核心竞争力；
- 优秀的团队氛围：与高潜伙伴共事，提供系统化培训、导师带教，助力快速成长。",1,杨艺,,,,,https://hunter.xiaohongshu.com/position-detail/18674
税务运营,小红书,,上海市,本科及以上,3-5年,,"1. 负责税务信息化体系的设计、搭建与迭代优化，制定建设规划。
2. 主导税务系统选型、供应商对接及项目全流程落地管理。
3. 推动税务系统与财务、业务系统及电子税务局的数据打通与自动化联动。
4. 负责税务系统日常运维，收集需求并推动功能优化。
5.搭建税务风险预警模型，利用系统数据开展税务分析与风险管控。
6. 制定系统使用规范，组织培训推广，优化用户体验。
追踪财","任职资格
核心特质（必备）
1. 敏锐思辨：对税务政策、业务逻辑有好奇心爱钻研，能形成独立判断，敢于表达真实观点，求真务实不盲从；
2. 自驱好奇：主动探索税务、业务、技术交叉领域知识，对财税政策更新、数字化工具应用充满求知欲，能够从解决问题中获得成就感；
3. 高效学习：能快速吸收新法规、新业务信息，拆解复杂涉税问题，抓住核心矛盾并形成初步解决方案；
4. 结果导向：有强烈的责任心与执行力，勇于直面税务合规挑战，对工作成果负责；
5. 开放灵活：乐于接受新理念、拥抱业务与政策变化，具备快速迭代工作方法的能力；
6. 热爱专注：对税务专业或数字化方向有浓厚兴趣，愿意投入精力深耕互联网税务赛道。
其他条件（加分项）
1. 本科及以上学历，税务、财务、经济、金融、计算机、数学、统计学等相关专业，1-5年工作经验，有互联网行业、电商行业或四大/全职经历者优先，
2. 具备基础税务专业知识，持有税务师、CPA等证书或通过部分科目者优先；
3. 掌握SQL、Python、R等至少一种数据分析工具，有税务数据建模、报表自动化经验者优先；
4. 英语听说读写能力良好，能对接跨境税务相关基础工作者优先。
5 接触过GPT、DeepSeek等AIGC工具，并有意愿探索其在税务政策解读、风险预警等场景的应用；

我们提供
- 清晰的成长路径：从税务专员到税务专家/管理者，覆盖合规、筹划、数字化等多方向发展通道；
- 丰富的业务场景：深度参与内容商业化、电商、跨境等核心业务税务支持，积累多元化互联网税务经验；
- 前沿的技术实践：接触AI、AIGC等技术在税务领域的创新应用，打造“税务+数字化”核心竞争力；
- 优秀的团队氛围：与高潜伙伴共事，提供系统化培训、导师带教，助力快速成长。",1,杨艺,,,,,https://hunter.xiaohongshu.com/position-detail/18675
【热招】税务BP,小红书,,上海市,本科及以上,5-10年,,"1. 掌握互联网商业化相关业务沿革和模式特点，可以独立对接业务团队各业务需求，梳理业务脉络逻辑，输出税务相关解决方案，并协助支持方案落地以及合同涉税条款的草拟等；
2.针对商业化板块各业务类型，结合税法相关政策和实务经验，搭建涉税业务税务管理体系；独立设计、主导、评估及执行商业化业务板块全流程涉税处理；完成多维度税务数据分析工作；主动识别项目全程的涉税风险，并确保优化方案落地；
3.对互联网商业化相关财税法规及行业内重要法律法规、业务发展变化有快速的反应力并高效地提出应对策略；
4.其他涉税事项的管理、落实。","任职资格
核心特质（必备）
1. 敏锐思辨：对税务政策、业务逻辑有好奇心爱钻研，能形成独立判断，敢于表达真实观点，求真务实不盲从；
2. 自驱好奇：主动探索税务、业务、技术交叉领域知识，对财税政策更新、数字化工具应用充满求知欲，能够从解决问题中获得成就感；
3. 高效学习：能快速吸收新法规、新业务信息，拆解复杂涉税问题，抓住核心矛盾并形成初步解决方案；
4. 结果导向：有强烈的责任心与执行力，勇于直面税务合规挑战，对工作成果负责；
5. 开放灵活：乐于接受新理念、拥抱业务与政策变化，具备快速迭代工作方法的能力；
6. 热爱专注：对税务专业或数字化方向有浓厚兴趣，愿意投入精力深耕互联网税务赛道。
其他条件（加分项）
1. 本科及以上学历，税务、财务、经济、金融、计算机、数学、统计学等相关专业，1-5年工作经验，有互联网行业、电商行业或四大/全职经历者优先，
2. 具备基础税务专业知识，持有税务师、CPA等证书或通过部分科目者优先；
3. 掌握SQL、Python、R等至少一种数据分析工具，有税务数据建模、报表自动化经验者优先；
4. 英语听说读写能力良好，能对接跨境税务相关基础工作者优先。
5 接触过GPT、DeepSeek等AIGC工具，并有意愿探索其在税务政策解读、风险预警等场景的应用；

我们提供
- 清晰的成长路径：从税务专员到税务专家/管理者，覆盖合规、筹划、数字化等多方向发展通道；
- 丰富的业务场景：深度参与内容商业化、电商、跨境等核心业务税务支持，积累多元化互联网税务经验；
- 前沿的技术实践：接触AI、AIGC等技术在税务领域的创新应用，打造“税务+数字化”核心竞争力；
- 优秀的团队氛围：与高潜伙伴共事，提供系统化培训、导师带教，助力快速成长。",1,杨艺,,,,,https://hunter.xiaohongshu.com/position-detail/12794
参数服务器研发工程师-搜广推,小红书,,"上海市,北京市",本科及以上,3-5年,,"1. 参与下一代高性能参数服务器（Parameter Server）的架构设计、核心模块开发与持续迭代，以满足大规模稀疏模型在线推理的超低延迟、高吞吐需求。
2. 深入优化参数服务器的通信框架（如BRPC、RDMA）、存储引擎（HBM、MEM、SSD分层存储）、并发模型和负载均衡策略，解决海量参数同步中的瓶颈问题。
3. 与算法团队紧密合作，理解前沿模型（如大语言模型、推荐系统、多模态模型）对训推基础设施的需求，并将其转化为系统级的创新与优化；
 4. 跟踪业界前沿技术，探索其在参数服务器中的落地场景，推动平台技术演进。","1. 优秀的代码能力、数据结构和基础算法功底，熟悉C++开发，有分布式系统或高性能计算相关开发经验(存储、并发、网络)。
2. 有一线互联网公司有参数服务器或大规模稀疏模型推理系统研发经历，深入理解并拥有大规模参数服务和分布式系统的实践经验，熟悉其架构、一致性协议与性能调优。
3. 参与推理/训练参数服务器的迭代优化，优化GPU PS embedding 相关功能，包括不限于参数更新 / 存储 / 索引构建等模块升级与运维。
4. 熟悉高性能网络技术（RDMA、RoCE、DPDK）及内核旁路优化，有异构计算（GPU/XPU）在参数服务器中应用的经验，对搜推广检索系统和模型有深入了解。
5. 熟悉至少一种主流的深度学习训练或推理框架（TensorFlow / PyTorch / Onnx / TensorRT等）的原理和实现。
6. 在顶级会议（OSDI、SOSP、NSDI、VLDB等）或期刊上发表过相关论文者优先。",3,邵静静,,,,,https://hunter.xiaohongshu.com/position-detail/19191
对象存储协议层研发-存储&数据库,小红书,,"上海市,北京市,杭州市",本科及以上,不限,,"【业务介绍】
小红书对象存储提供高可靠、低成本、高性能的EB级别的云存储服务，支撑社交、推荐、搜索、电商、广告等核心业务场景。
【工作职责】
1、负责小红书对象存储统一网关的设计、开发、测试和发布；
2、负责社交、推荐、搜索、电商、广告等核心业务的接入和支撑；
3、负责对象存储产品的服务质量，保障可用性、可靠性达标，持续降低存储成本；","【任职资格】
1、1年以上系统软件，如操作系统，存储系统，数据库系统，分布式系统等大规模系统软件开发经验；
2、精通C/C++/golang等一门或多门语言；
3、熟悉S3协议有对象存储网关研发经验的优先；
4、良好的沟通能力和团队合作精神，有一定的组织协调能力和决策能力；
5、有在充满变化的环境下克服困难达成目的的能力和决心。",若干,林宇,,,,,https://hunter.xiaohongshu.com/position-detail/14218
AI平台高级前端工程师,小红书,,"北京市,上海市,杭州市,深圳市",本科及以上,3-5年,,"工作职责：
1. 参与小红书内部AI平台QuickSilver的前端开发工作，负责平台的前端架构设计和实现。
2. 与后端团队紧密合作，实现数据管理、模型管理、模型训练、压缩、推理、部署、服务管理、资源调度等功能。
3. 优化前端性能，提升用户体验，确保平台的稳定性和高可用性。
4. 设计和实现前端交互界面，提升平台的易用性和美观性。
5. 参与前端技术选型和技术预研，推动前端技术的发展和创新，引入和推广新的技术和工具。
加分项：
1. 有AI平台或相关领域的开发经验，了解大模型（LLM/MLLM/SD/CV/NLP）的基本原理和应用场景。
2. 有大规模分布式系统的开发经验，熟悉Kubernetes、Docker等容器技术。
3. 有前端可视化相关工作经验，熟悉Echarts、G2等图表组件库。
4. 有中大型前端系统架构工作经验，熟悉微前端、Serverless等技术。
5. 有开源项目经验，对开源社区有贡献。","任职资格：
1. 本科及以上学历，计算机相关专业，3-5年前端开发经验。
2. 扎实的计算机基础知识，熟悉HTML、CSS、JavaScript等Web标准技术。
3. 精通主流前端框架，如React、Vue等，有实际项目经验。
4. 熟悉前端工程化体系，包括但不限于Webpack、Babel、ESLint等工具。
5. 有良好的系统架构设计能力，能够设计和实现复杂的前端系统。
6. 具备良好的沟通能力和团队协作精神，能够快速适应团队文化和工作节奏。
7. 对用户体验有深刻的理解，能够从用户视角改善平台体验。
8. 有强烈的好奇心，对前沿技术保持敏感，愿意不断学习和尝试新技术。",1,戴拓妮,,,,,https://hunter.xiaohongshu.com/position-detail/19187
AI平台资深技术专家,小红书,,"北京市,上海市",本科及以上,3-5年,,"我们是中台技术部大模型 Infra 团队，专注打造领先易用的「AI 大模型全链路基础设施」，在大模型训练加速、模型压缩、推理优化、部署提效等方向积累了深厚的技术优势。其中 QuickSilver 大模型生产部署平台负责调度公司内所有稠密类模型训练与推理资源，基于自建训推引擎，为公司所有大模型算法同学提供端到端一站式AI服务，包括数据管理，模型管理，模型训练、压缩、推理、部署，服务管理，资源调度等一系列能力，持续赋能小红书社区、商业、交易、安全、数平、研效等多个核心业务，实现 AI 技术高效落地！
岗位职责：
1、负责大模型平台整体架构设计，构建高可用、高性能、可扩展的云原生体系。
2、主导大模型全流程 DevOps/MLOps 工程体系建设，打造端到端一站式平台能力。
3、推动训练框架、推理引擎、压缩工具链与平台深度集成，提升模型研发与发布效率。
4、负责平台核心模块研发（模型管理、任务管理、实验系统、评测与发布等）。
5、持续优化平台性能、稳定性与可观测性，支撑多模型、多业务的规模化生产需求。
6、跟踪并引入行业前沿 AI Infra 技术，推动平台能力和产品体验持续演进。
7、协同上下游团队进行必要的资源调度与自动化优化，共同提升算力效率。","任职要求：
1、计算机相关专业本科及以上学历，具备扎实的计算机基础与工程能力。
2、熟练掌握 Java/Golang/Python 至少两门语言，有良好的架构设计与编码能力。
3、熟悉云原生技术栈（K8s、Docker、微服务体系），具备平台系统研发经验。
4、了解深度学习训练/推理框架（如 PyTorch/TensorRT/ONNX）及大模型研发流程。
5、有 MLOps/平台工具链/模型服务化等方面实践经验，理解 AI 工程体系。
6、具备优秀的沟通协作能力，能够推动复杂平台项目跨团队落地。
7、有 Owner 意识，具备产品思维，关注工程质量、可维护性与系统长期演进
加分项：
1、主导或深度参与过大模型平台、MLOps、AI Infra 相关系统建设。
2、有训练框架、推理引擎、压缩工具链或研发平台等产品化经验。
3、有大规模平台架构、云原生工程系统或开源社区贡献经验。
4、有平台智能化升级、Agent架构建设经验。",1,戴拓妮,,,,,https://hunter.xiaohongshu.com/position-detail/19186
